time,activity,average diameter,1a,1b,2a,2b,3a,3b,5a,5b,9a,9b,4a,4b,north,south,east,west,up,down,northGlobalNorm,southGlobalNorm,eastGlobalNorm,westGlobalNorm,upGlobalNorm,downGlobalNorm,northsouth,eastwest,currentDirection,conductivity,temperature,depth
1004.0333333333333,0.997755504,0.650379741,0.691198636,0.710452723,0.546312694,0.729664811,0.604919531,0.654619124,0.629635732,0.670662013,0.716401978,0.549930173,,,0.465246637,0,0,0.328200972,0.202898551,0,0.465246637,0,0,0.227578475,0.015695067,0,0.465246637,-0.227578475,116.065875,,,
1070.7166666666667,0.998052208,0.653753256,0.597265065,0.737223096,0.605187315,0.791614256,0.600721844,0.59286441,0.661899774,0.66189756,0.719129463,0.569729779,,,0.552130045,0,0,0.318476499,0,0.188679245,0.552130045,0,0,0.220852018,0,0.012331839,0.552130045,-0.220852018,111.8014095,,,
1137.3833333333334,0.997754754,0.668964583,0.659124379,0.710760047,0.695338966,0.820197823,0.49106898,0.53396769,0.709593335,0.707741269,0.748424683,0.613428654,,,0.597533632,0,0,0.454619125,0.202898551,0,0.597533632,0,0,0.315022422,0.015695067,0,0.597533632,-0.315022422,117.7984001,,,
1204.0666666666666,0.993825002,0.693843822,0.675398377,0.703539697,0.70996607,0.818447454,0.681505599,0.618969016,0.671106894,0.655962944,0.728695164,0.674847008,,,0.494394619,0,0,0.363857374,0.173913043,0,0.494394619,0,0,0.252242152,0.013452915,0,0.494394619,-0.252242152,117.0308603,,,
1270.7333333333333,0.995389584,0.663796563,0.760466307,0.694746832,0.556255645,0.825436932,0.552238589,0.567568813,0.612952927,0.66664885,0.730119443,0.671531296,,,0.375560538,0,0,0.346029173,0.579710145,0,0.375560538,0,0,0.239910314,0.044843049,0,0.375560538,-0.239910314,122.5706832,,,
1337.3833333333334,0.993544856,0.641930923,0.597057061,0.753787095,0.474169842,0.843848125,0.543134015,0.5400675,0.659741088,0.647001639,0.86633428,0.494168583,,,0.274663677,0,0,0.616693679,0.739130435,0,0.274663677,0,0,0.427130045,0.057174888,0,0.274663677,-0.427130045,147.2571738,,,
1404.05,0.994184794,0.691224998,0.775799985,0.745657834,0.506356356,0.815100355,,,0.590329565,0.691261802,0.726687885,0.678606203,,,0.210201794,0,0,0.62560778,0.826086957,0,0.210201794,0,0,0.433295964,0.063901345,0,0.210201794,-0.433295964,154.1209144,,,
1470.7333333333333,0.995426969,0.675697901,0.772021299,0.798660597,0.49436257,0.702793204,,,0.503486884,0.714484409,0.786780988,0.632993261,,,0.171524664,0,0,0.587520259,0.797101449,0,0.171524664,0,0,0.406950673,0.061659193,0,0.171524664,-0.406950673,157.14518,,,
1537.4,0.97018371,0.643918631,0.668309229,0.795423197,0.614206726,0.796572948,0.542480009,0.498507581,0.606282525,0.706230597,0.611562435,0.599611059,,,0.020179372,0,0,0.347649919,0.782608696,0,0.020179372,0,0,0.24103139,0.060538117,0,0.020179372,-0.24103139,175.2143045,,,
1604.0666666666666,0.997987401,0.646009594,0.681757915,0.789144878,0.625021967,0.797953904,0.552764368,0.546698524,0.580377316,0.754221943,0.574859467,0.557295662,,,0,0.046554935,0,0.314424635,0.869565217,0,0,0.029147982,0,0.218049327,0.067264574,0,-0.029147982,-0.218049327,-172.3860619,,,
1670.7333333333333,0.997878676,0.66772221,0.756151317,0.778708109,0.630575353,0.730061442,0.529713026,0.58102015,0.561555877,0.728749101,0.69743713,0.683250596,,,0.019058296,0,0,0.219611021,0.652173913,0,0.019058296,0,0,0.152466368,0.05044843,0,0.019058296,-0.152466368,172.8749837,,,
1737.4166666666667,0.99804604,0.671950469,0.880470071,0.860842065,0.540608334,0.717887023,0.587703052,0.569072172,0.58648768,0.725594394,0.627396944,0.623442961,,,0.049327354,0,0,0.232576985,0.666666667,0,0.049327354,0,0,0.161434978,0.051569507,0,0.049327354,-0.161434978,163.0091767,,,
1804.0666666666666,0.997895571,0.703111245,0.751361139,0.836384874,0.544085737,0.787683044,0.602697369,0.570113521,0.902564826,0.731835889,0.730980159,0.573405895,,,0.047085202,0,0,0.11102107,0.68115942,0,0.047085202,0,0,0.07735426,0.052690583,0,0.047085202,-0.07735426,148.6713071,,,
1870.75,0.822653655,0.601026201,0.605055584,0.750124533,0.414816957,0.693699971,0.52067304,0.466704512,0.662305009,0.759254431,0.624763978,0.512863999,,,0.052690583,0,0,0.166126418,0.652173913,0,0.052690583,0,0,0.115470852,0.05044843,0,0.052690583,-0.115470852,155.4722795,,,
1937.4166666666667,0,0.27014202,0.241992411,0.282901132,0.26547009,0.470003111,0.188805986,0.08653653,0.405825114,0.367659298,0.262474397,0.129752134,23.2542057,43.09276581,0,0.061452514,0,0.190437601,0.666666667,0,0,0.038116592,0,0.132286996,0.051569507,0,-0.038116592,-0.132286996,-163.9264258,,,
2004.0666666666666,0,0.210637368,0.234653969,0.369626419,0.098659953,0.41896003,0.136722588,0.049732729,0.254194451,0.284497047,0.130623168,0.12870333,24.54179001,40.83203506,0,0.04283054,0,0.115883306,0.869565217,0,0,0.02690583,0,0.080717489,0.067264574,0,-0.02690583,-0.080717489,-161.5650512,,,
2070.733333333333,0.445538457,0.30128817,0.233702238,0.447867154,0.159268974,0.537064618,0.163891779,0.168871819,0.327279385,0.322029909,0.373937897,0.278967922,23.74298286,46.73204422,0.001121076,0,0,0.11102107,0.594202899,0,0.001121076,0,0,0.07735426,0.045964126,0,0.001121076,-0.07735426,179.1696845,,,
2137.4166666666665,0,0.352658331,0.299183486,0.458685276,0.245424608,0.598404523,0.277722278,0.298025627,0.392676973,0.395029605,0.306275764,0.255155169,22.23229599,46.66302109,0.096412556,0,0.038854806,0,0.507246377,0,0.096412556,0,0.021300448,0,0.039237668,0,0.096412556,0.021300448,77.54175356,,,
2204.1,0.971603362,0.616442298,0.562623203,0.742322918,0.484773966,0.662080611,0.558018574,0.539925267,0.585122919,0.703188003,0.697228907,0.629138613,,,0.143497758,0,0,0.085089141,0.565217391,0,0.143497758,0,0,0.05941704,0.043721973,0,0.143497758,-0.05941704,112.4926119,,,
2270.766666666667,0.998289562,0.656139031,0.680480012,0.728722248,0.526785156,0.729229054,0.559232447,0.570957309,0.519659288,0.654224002,0.809564239,0.782536555,,,0.177130045,0,0,0.055915721,0.449275362,0,0.177130045,0,0,0.039237668,0.034753363,0,0.177130045,-0.039237668,102.4904057,,,
2337.4166666666665,0.998278374,0.659805097,0.681715077,0.785084075,0.563739965,0.788754216,0.618613646,0.512228262,0.490189268,0.659389724,0.778520019,0.719816723,,,0.285874439,0,0,0.144246353,0.304347826,0,0.285874439,0,0,0.100336323,0.023542601,0,0.285874439,-0.100336323,109.3400731,,,
2404.0833333333335,0.998339151,0.643727568,0.661825527,0.692918586,0.550540193,0.78562522,0.505601155,0.527654309,0.526700291,0.640778134,0.809788978,0.735843287,,,0.273542601,0,0,0.116693679,0.333333333,0,0.273542601,0,0,0.081278027,0.025784753,0,0.273542601,-0.081278027,106.5483244,,,
2470.766666666667,0.997952612,0.609603263,0.623250643,0.704682697,0.374540023,0.664103518,0.543710451,0.533849385,0.443979935,0.60660498,0.84994002,0.751370982,,,0.012331839,0,0.00408998,0,0.608695652,0,0.012331839,0,0.002242152,0,0.047085202,0,0.012331839,0.002242152,79.69515353,,,
2537.4166666666665,0.928346811,0.604014489,0.52684027,0.790968242,0.474928543,0.784102085,0.48392716,0.481925261,0.604279764,0.646042151,0.646877713,0.600253697,,,0,0.074487896,0.028629857,0,0.52173913,0,0,0.045964126,0.015695067,0,0.040358744,0,-0.045964126,0.015695067,-71.14684124,,,
2604.1,0.001531513,0.573664909,0.595716592,0.516909261,0.525130643,0.740360236,0.613318914,0.414386336,0.780225192,0.529756121,0.60944069,0.411405111,24.68639183,44.96804428,0,0.027932961,0.077709611,0,0.536231884,0,0,0.01793722,0.042600897,0,0.041479821,0,-0.01793722,0.042600897,-22.83365418,,,
