time,activity,1a,1b,2a,2b,3a,3b,5a,5b,9a,9b,4a,4b,north,east,up,conductivity,temperature,depth
0.0,0.993903296,32.25052643,45.44169617,53.34328079,68.47467041,40.90023804,59.01086044,38.20152283,77.42836761,41.98692322,62.29859543,,,0.2575,-0.066,0.004,,,
0.8166666666666667,0.993936299,33.98379517,44.35116196,,,,,,,,,,,0.2575,-0.066,0.004,,,
3.533333333333333,0.993656184,31.40872955,43.62758255,54.59865189,68.49069214,42.6732254,60.82081604,39.47083664,76.75976563,39.70335007,59.71834183,,,0.2575,-0.066,0.004,,,
70.68333333333334,0.981962318,30.29779625,45.9481926,51.26390839,66.15810394,40.79573059,59.72999954,37.3233757,74.99365997,42.37791824,63.08666611,,,0.2765,-0.02,-0.032,,,
137.35,0.992819385,34.05870819,45.28588486,49.70332336,66.70954132,42.07503128,59.16896057,41.56045151,77.20066833,42.02116394,61.60116196,,,0.297,-0.01,-0.028,,,
204.01666666666668,0.993360815,31.73877525,41.18631744,53.51756287,66.82080841,39.53211212,56.58886337,39.01503754,74.99817657,36.77927017,66.1210022,,,0.133,-0.029,0.028,,,
270.68333333333334,0,19.17660904,30.97314072,32.11001587,49.93809128,28.11495399,39.09952545,28.7074337,48.17930222,25.66884422,34.92610168,23.49020195,42.91410446,0.103,0.018,0.034,,,
337.35,0,18.11267662,30.28465652,29.84860229,49.58716965,22.79766655,35.81892776,26.00384331,45.53708649,22.05215836,34.09194183,23.06593895,41.10525513,0.105,0.055,0.026,,,
404.01666666666665,0,18.94934273,30.9246769,29.52666283,50.49907303,22.60295677,35.6304512,26.2871685,44.99923706,21.44299889,34.13591385,22.81916618,40.80686188,0.0885,0.069,0.024,,,
470.68333333333334,0,23.34201431,36.65899658,34.19680786,53.44749451,23.84277534,35.15000916,26.59708405,44.46797562,22.22720718,34.28091812,23.38895035,41.2466011,0.076,0.043,0.048,,,
537.3833333333333,0,23.6911869,36.08539963,39.51033401,59.50365829,26.37067604,37.11115646,27.65413666,45.16320419,23.13376045,34.32094955,24.05967522,41.07330704,0.068,0.045,0.043,,,
604.0333333333333,0,24.23376465,32.62899017,39.56414032,56.75847244,33.22828674,42.95447922,28.12775993,46.35899353,24.61683846,34.07915115,23.82742882,41.25205612,0.0565,0.026,0.024,,,
670.7,0,19.85519981,30.64323616,35.6884613,52.20996094,26.25112534,40.92399597,27.40997124,44.92219925,25.68754768,35.93385696,23.65280342,42.05971909,0.1525,-0.033,0.013,,,
737.3666666666667,0,20.3755703,30.9643116,34.41036224,51.88801193,25.11476707,40.00299454,27.06288719,44.72739029,24.47813988,35.3793869,24.15691948,42.73244095,0.116,-0.046,0.011,,,
804.0333333333333,0,22.61332703,33.534729,38.799366,59.34531403,25.57193184,43.22548294,29.3990612,47.33564758,26.7359848,39.23588562,21.84847832,42.58478165,0.197,-0.0765,0.028,,,
870.7166666666667,0.988438885,28.22765541,42.87680435,45.49102783,61.12917328,36.59035492,58.55717087,36.86531448,73.96527863,43.58004761,54.85371017,,,0.1285,-0.129,0.033,,,
937.3833333333333,0.998184632,30.3076725,44.08388138,47.82717896,63.9944191,36.66837692,57.97978592,35.62521744,73.13974762,44.37944412,57.11603928,,,0.212,-0.1565,0.03,,,
1004.0333333333333,0.997755504,31.35548019,43.47965622,48.43170929,63.95985413,41.0980835,62.86990738,38.47705078,72.80506134,42.09884644,54.45505905,,,0.415,-0.203,0.014,,,
1070.7166666666667,0.998052208,29.50271606,44.25355911,50.78060913,66.59931183,40.94635391,60.22153091,39.35479736,72.29213715,42.18074417,55.22417831,,,0.4925,-0.197,-0.011,,,
1137.3833333333334,0.997754754,30.72284126,43.48854065,54.37735748,67.81716156,36.98284149,57.69572067,40.6523056,74.97505951,43.06038666,56.92166901,,,0.533,-0.281,0.014,,,
1204.0666666666666,0.993825002,31.04383278,43.27980804,54.96092987,67.74258423,43.86636353,61.34103775,39.60527802,71.94482422,42.4679718,59.30747604,,,0.441,-0.225,0.012,,,
1270.7333333333333,0.995389584,32.72172928,43.02561569,48.82839966,68.04038239,39.19387817,59.13671875,38.02319336,72.57019806,42.51073837,59.17867661,,,0.335,-0.214,0.04,,,
1337.3833333333334,0.993544856,29.49861336,44.73240662,45.55345154,68.82482147,38.86478424,57.95731354,39.2960701,71.42037964,46.60083771,52.28899002,,,0.245,-0.381,0.051,,,
1404.05,0.994184794,33.02417374,44.49739838,46.83758545,67.59997559,,,37.40772247,74.01062775,42.40769958,59.45350266,,,0.1875,-0.3865,0.057,,,
1470.7333333333333,0.995426969,32.94964218,46.02965164,46.35907364,62.81494522,,,35.04515839,75.36968994,44.2121048,57.6816597,,,0.153,-0.363,0.055,,,
1537.4,0.97018371,30.90400505,45.93606186,51.14045334,66.81058502,38.84114456,56.17499924,37.8417244,74.88665009,38.95084763,56.38492203,,,0.018,-0.215,0.054,,,
1604.0666666666666,0.997987401,31.16926956,45.75456238,51.57194519,66.86942291,39.212883,58.24168777,37.13697052,77.69525909,37.84877396,54.74117279,,,-0.026,-0.1945,0.06,,,
1670.7333333333333,0.997878676,32.63661957,45.45284653,51.79350662,63.97675323,38.37966919,59.7135849,36.62493134,76.20450592,41.52939224,59.63391495,,,0.017,-0.136,0.045,,,
1737.4166666666667,0.99804604,35.08870697,47.82725143,48.20412445,63.45804214,40.47577667,59.20119095,37.30320358,76.0198822,39.42630768,57.31067657,,,0.044,-0.144,0.046,,,
1804.0666666666666,0.997895571,32.54213715,47.12022018,48.34286118,66.4318161,41.01776123,59.24584961,45.90211487,76.38515472,42.53658295,55.36697769,,,0.042,-0.069,0.047,,,
1870.75,0.822653655,29.65637779,44.62652588,43.18547058,62.42751312,38.05290985,54.81111145,39.36582184,77.98977661,39.34724808,53.01521683,,,0.047,-0.103,0.045,,,
1937.4166666666667,0,22.49524879,31.11959648,37.22703171,52.8965416,26.05724335,38.5074501,32.38825989,55.07236099,28.46884155,38.13316727,23.2542057,43.09276581,-0.034,-0.118,0.046,,,
2004.0666666666666,0,22.35050392,33.62673187,30.57186699,50.72176743,24.17463684,36.92910385,28.2631321,50.20543671,24.50976753,38.0924263,24.54179001,40.83203506,-0.024,-0.072,0.06,,,
2070.733333333333,0.445538457,22.3317318,35.88858795,32.98996353,55.75380707,25.15669441,42.03843307,30.25141525,52.40198135,31.81573677,43.92948151,23.74298286,46.73204422,0.001,-0.069,0.041,,,
2137.4166666666665,0,23.62329674,36.20132828,36.42728424,58.36729431,29.27121162,47.57724762,32.03056335,56.67416,29.78405762,43.00447083,22.23229599,46.66302109,0.086,0.019,0.035,,,
2204.1,0.971603362,28.81943321,44.40098953,45.97652054,61.08031845,39.40280151,57.95121384,37.26607513,74.70858765,41.52313995,57.5319252,,,0.128,-0.053,0.039,,,
2270.766666666667,0.998289562,31.14406395,44.00780869,47.65262604,63.94128799,39.44667816,59.28203583,35.48513031,71.84305573,44.89621353,63.49069595,,,0.158,-0.035,0.031,,,
2337.4166666666665,0.998278374,31.16842461,45.63716888,49.1269989,66.47745514,41.59307098,56.76341629,34.68339539,72.14537048,43.96405411,61.05433273,,,0.255,-0.0895,0.021,,,
2404.0833333333335,0.998339151,30.77611923,42.97276306,48.60037231,66.3441391,37.50812149,57.42496872,35.67668152,71.05615997,44.90296173,61.67688751,,,0.244,-0.0725,0.023,,,
2470.766666666667,0.997952612,30.0152607,43.31285095,41.57855606,61.16650772,38.88562012,57.69064713,33.42626572,69.05623627,46.1085701,62.28006363,,,0.011,0.002,0.042,,,
2537.4166666666665,0.928346811,28.11364365,45.80727386,45.58372116,66.27924347,36.7246933,55.46385956,37.78723907,71.36422729,40.01125336,56.40988541,,,-0.041,0.014,0.036,,,
2604.1,0.001531513,29.47217369,37.88452148,47.58661652,64.41555023,41.40168762,52.56742477,42.57385254,64.55879211,38.88713837,49.07402802,24.68639183,44.96804428,-0.016,0.038,0.037,,,
2670.766666666667,0,24.2563839,33.83613205,35.7280159,55.43851089,29.60887337,41.81760025,31.20519638,53.9978981,29.39418793,41.41426468,24.05171013,42.99369049,0.043,-0.0045,0.041,,,
2737.4333333333334,0,21.5798893,36.12984085,35.48671722,56.31598282,28.03027344,42.64146805,31.38773537,52.61844635,28.15098953,39.26974869,23.15040398,45.43766785,0.084,-0.059,0.038,,,
2804.133333333333,0.922725111,29.05439377,43.58786011,50.25186157,62.47635651,39.52867126,58.63183212,35.76422501,72.84640503,42.29827118,56.97717667,,,0.114,-0.012,0.043,,,
2870.8,0.998186848,31.31908035,43.98778915,49.60225677,64.96427155,40.63902283,59.2448616,36.16804886,71.31237793,40.95530701,58.57328415,,,0.152,-0.038,0.028,,,
2937.45,0.99797747,31.10626793,44.55347061,49.58022308,67.19695282,38.36064148,59.18077469,36.46021652,73.45828247,42.90122986,61.48513794,,,0.143,-0.052,0.029,,,
3004.1,0.998036537,32.7823143,46.11415482,51.88316345,65.43981171,42.0683136,59.25492096,37.14174652,75.18358612,42.88128662,63.53292465,,,0.103,-0.038,0.044,,,
